tot_credit_debt,avg_card_debt,credit_age,credit_good_age,card_age,non_mtg_acc_past_due_12_months_num,non_mtg_acc_past_due_6_months_num,mortgages_past_due_6_months_num,credit_past_due_amount,inq_12_month_num,card_inq_24_month_num,card_open_36_month_num,auto_open_ 36_month_num,uti_card,uti_50plus_pct,uti_max_credit_line,uti_card_50plus_pct,ind_acc_XYZ,rep_income,States,Default_ind
80826.71,15872.99,300.0,114.0,292.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.36590184973269235,0.47559422273686247,0.41050387817050227,,0.0,69000.0,AL,0.0
96052.6,12178.02,281.0,102.0,232.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.5427861551477439,0.5431582876237978,0.5351474315847421,0.5873505718519796,0.0,61000.0,FL,0.0
75212.76,12052.24,261.0,149.0,260.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.32367777474536813,0.32177566632687343,0.3487133635390711,0.4132930493623301,0.0,,AL,0.0
70727.84,8416.8,227.0,93.0,223.0,2.0,1.0,1.0,11013.96,0.0,1.0,1.0,0.0,0.4487206459395717,0.4228094519351444,0.49136452255952495,0.46681003899369317,0.0,79000.0,SC,1.0
41604.47,10611.97,249.0,136.0,241.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6440298835874646,0.6199870238678392,0.5466546413469056,0.5884419446100367,1.0,,LA,0.0
89198.22,15193.09,319.0,147.0,279.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.18391810330793384,0.30934108220912626,0.25474366660600206,0.1930598879439065,0.0,76000.0,LA,0.0
108936.89,14262.34,271.0,100.0,247.0,2.0,1.0,1.0,6087.16,0.0,4.0,0.0,0.0,0.4881445059506306,0.4480822818959299,0.4143828100595349,0.48035734755618154,0.0,68000.0,AL,1.0
84868.71,10636.64,296.0,142.0,266.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.36151609775590055,0.4349641909324542,0.4369181506961022,0.3352621536702357,1.0,74000.0,AL,0.0
108476.1,14219.19,266.0,142.0,244.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4948218177164523,0.518860911564272,0.44408174633767944,0.3766329289776548,1.0,86000.0,GA,0.0
61573.08,8281.7,348.0,160.0,293.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.6998274300234776,0.5255325653599872,0.6650714860246666,,0.0,59000.0,SC,0.0
71208.55,9976.43,339.0,157.0,329.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.5097089170731941,0.5721159345572487,0.544313180183,0.5554878624786339,0.0,91000.0,LA,0.0
50683.58,9893.18,276.0,168.0,260.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,0.42522820083007407,0.44560379852822357,0.4424571321514483,0.46552800803012084,1.0,64000.0,FL,0.0
64680.93,11596.96,346.0,157.0,288.0,2.0,1.0,1.0,2997.77,0.0,1.0,0.0,0.0,0.6609463268535826,0.6002665725333397,0.69758612244483,0.639849833916897,0.0,94000.0,AL,0.0
